Time,U,Y,X1,X2,X3
3.92,449.0,-1.0,-1.0,-5.25,12890.85
3.93,832.0,-1.0,-1.0,87.77,-14496.91
3.94,530.0,-1.0,-1.0,137.02,-28863.45
3.95,345.0,0.0,-0.0,105.86,-19417.96
3.96,-414.0,-1.0,-1.0,82.27,-12686.78
3.97,524.0,-1.0,-1.0,-6.8,13325.32
3.98,874.0,-1.0,-1.0,96.29,-17004.64
3.99,534.0,-1.0,-1.0,142.36,-30420.38
4.0,357.0,-1.0,-1.0,105.99,-19645.4
4.01,472.0,-1.0,-1.0,83.77,-13096.36
4.02,552.0,-1.0,-1.0,95.88,-16629.53
4.03,513.0,0.0,-0.0,106.65,-19537.51
4.04,-384.0,0.0,0.0,102.82,-18375.54
4.05,-379.0,-1.0,-1.0,-1.78,12003.09
4.06,873.0,0.0,-0.0,-6.66,13421.7
4.07,88.0,0.0,0.0,137.03,-28782.57
4.08,-413.0,0.0,0.0,54.31,-4493.95
4.09,-122.0,0.0,0.0,-8.26,13697.98
4.1,135.0,0.0,0.0,21.24,4845.22
4.11,72.0,0.0,0.0,52.11,-4328.49
4.12,-11.0,-1.0,-1.0,45.57,-2701.8
4.13,888.0,-1.0,-1.0,35.23,239.57
4.14,953.0,-1.0,-1.0,138.34,-29976.61
4.15,586.0,-1.0,-1.0,151.76,-33738.96
4.16,509.0,-1.0,-1.0,110.77,-21578.84
4.17,634.0,-1.0,-1.0,99.93,-18331.41
4.18,666.0,-1.0,-1.0,114.0,-22386.35
4.19,609.0,-1.0,-1.0,118.74,-23683.1
4.2,580.0,-1.0,-1.0,112.67,-21813.55
4.21,590.0,-1.0,-1.0,109.27,-20740.01
4.22,594.0,-1.0,-1.0,110.53,-21035.9
4.23,582.0,-1.0,-1.0,111.27,-21181.37
4.24,572.0,-1.0,-1.0,110.18,-20788.24
4.25,569.0,0.0,-0.0,109.85,-20420.28
4.26,-293.0,0.0,0.0,109.59,-20292.43
4.27,-304.0,-1.0,-1.0,9.27,8850.72
4.28,928.0,0.0,-0.0,2.94,10718.17
4.29,143.0,0.0,0.0,144.34,-30792.26
4.3,-353.0,0.0,0.0,61.53,-6464.38
4.31,-66.0,0.0,0.0,-0.52,11591.89
4.32,186.0,0.0,0.0,28.7,2837.32
4.33,121.0,0.0,0.0,58.99,-6152.19
4.34,35.0,0.0,0.0,52.88,-4433.16
4.35,73.0,0.0,0.0,42.41,-1453.61
4.36,130.0,-1.0,-1.0,45.14,-2558.57
4.37,1000.0,-1.0,-1.0,51.66,-4541.92
4.38,1000.0,-1.0,-1.0,152.3,-33995.79
4.39,634.0,-1.0,-1.0,158.25,-35541.84
4.4,578.0,-1.0,-1.0,116.99,-23289.83
4.41,701.0,0.0,-0.0,109.36,-20761.45
4.42,-139.0,-1.0,-1.0,122.65,-24786.38
4.43,654.0,-1.0,-1.0,26.54,3390.6
4.44,1009.0,0.0,-0.0,113.48,-21934.17
4.45,-145.0,-1.0,-1.0,158.54,-35228.57
4.46,524.0,-1.0,-1.0,28.14,3051.05
4.47,991.0,0.0,-0.0,98.93,-17553.58
4.48,-101.0,-1.0,-1.0,156.02,-34401.83
4.49,530.0,-1.0,-1.0,33.37,1607.42
4.5,969.0,-1.0,-1.0,99.53,-17837.25
4.51,750.0,-1.0,-1.0,153.91,-33675.28
4.52,539.0,-1.0,-1.0,131.98,-27088.38
4.53,593.0,-1.0,-1.0,106.88,-19636.53
4.54,671.0,-1.0,-1.0,111.94,-21056.97
4.55,648.0,-1.0,-1.0,121.48,-23775.34
4.56,604.0,-1.0,-1.0,119.56,-23123.14
4.57,600.0,-1.0,-1.0,114.73,-21629.08
4.58,609.0,-1.0,-1.0,114.24,-21414.08
4.59,604.0,-1.0,-1.0,115.42,-21690.41
4.6,593.0,-1.0,-1.0,115.11,-21529.93
4.61,587.0,-1.0,-1.0,114.03,-21148.36
4.62,585.0,-1.0,-1.0,113.52,-20936.57
4.63,581.0,-1.0,-1.0,113.43,-20848.19
4.64,576.0,-1.0,-1.0,113.2,-20721.58
4.65,572.0,-1.0,-1.0,112.84,-20557.36
